"ISO3_Code","taxon_name","wcvp_accepted_id","status"
"ALB","Fraxinus excelsior",369664,"threatened"
"ALB","Galinsoga parviflora",3125116,"non-native"
"ALB","Gentiana lutea",2820867,"threatened"
"ALB","Glaucium flavum",2826358,"threatened"
"ALB","Glebionis segetum",3112325,"non-native"
"ALB","Gomphocarpus fruticosus",505642,"non-native"
"ALB","Halophila stipulacea",308091,"non-native"
"ALB","Helianthus tuberosus",2927111,"non-native"
"ALB","Hippuris vulgaris",2851597,"threatened"
"ALB","Hydrocharis morsus-ranae",308132,"threatened"
"ALB","Hyoscyamus niger",2857441,"threatened"
"ALB","Impatiens balfourii",2862177,"non-native"
"ALB","Inula helenium",2901737,"non-native"
"ALB","Iris pallida",322201,"non-native"
"ALB","Iris pseudacorus",322261,"threatened"
"ALB","Juniperus communis",377427,"threatened"
"ALB","Laurus nobilis",2349094,"threatened"
"ALB","Lemna minuta",109312,"non-native"
"ALB","Lepidium bonariense",2338282,"non-native"
"ALB","Lepidium didymum",2337750,"non-native"
"ALB","Lepidium virginicum",2341702,"non-native"
"ALB","Lycium europaeum",2496714,"threatened"
"ALB","Malva nicaeensis",2503833,"threatened"
"ALB","Marsilea quadrifolia",3145458,"threatened"
"ALB","Mentha spicata",125402,"non-native"
"ALB","Mentha suaveolens",125435,"non-native"
"ALB","Menyanthes trifoliata",2505977,"threatened"
"ALB","Nerium oleander",135196,"threatened"
"ALB","Nuphar lutea",2384511,"threatened"
"ALB","Nymphaea alba",2383355,"threatened"
"ALB","Nymphoides peltata",2384918,"threatened"
"ALB","Origanum vulgare",143954,"threatened"
"ALB","Osmunda regalis",3144290,"threatened"
"ALB","Oxalis pes-caprae",2393938,"non-native"
"ALB","Oxalis stricta",2394269,"non-native"
"ALB","Pancratium maritimum",286099,"threatened"
"ALB","Phlomoides tuberosa",152625,"threatened"
"ALB","Pholiurus pannonicus",433915,"threatened"
"ALB","Physalis angulata",2549815,"non-native"
"ALB","Physalis pubescens",2549637,"non-native"
"ALB","Phytolacca americana",2562777,"non-native"
"ALB","Picea abies",380406,"threatened"
"ALB","Pinus mugo",380254,"threatened"
"ALB","Pinus peuce",380345,"threatened"
"ALB","Pinus pinea",380351,"threatened"
"ALB","Pinus pinea",380351,"non-native"
"ALB","Pinus sylvestris",380126,"threatened"
"ALB","Platanus orientalis",2570462,"threatened"
"ALB","Populus alba",2917735,"threatened"
"ALB","Portulaca oleracea",2566490,"non-native"
"ALB","Prunus amygdalus",2917141,"non-native"
"ALB","Prunus armeniaca",2901800,"non-native"
"ALB","Prunus avium",2917143,"threatened"
"ALB","Prunus cerasifera",2959102,"threatened"
"ALB","Prunus cerasus",2959193,"non-native"
"ALB","Prunus domestica",2959531,"non-native"
"ALB","Prunus insititia",2960005,"non-native"
"ALB","Prunus tenella",2962206,"threatened"
"ALB","Pulsatilla halleri",2544595,"threatened"
"ALB","Punica granatum",2536844,"non-native"
"ALB","Quercus ilex",173162,"threatened"
"ALB","Quercus robur",174750,"threatened"
"ALB","Ricinus communis",178867,"non-native"
"ALB","Robinia pseudoacacia",2428246,"non-native"
"ALB","Rubia tinctorum",180430,"non-native"
"ALB","Ruscus hypoglossum",286774,"threatened"
"ALB","Sagittaria sagittifolia",287474,"threatened"
"ALB","Salvia fruticosa",182683,"threatened"
"ALB","Salvia officinalis",183353,"threatened"
"ALB","Salvinia natans",3145482,"threatened"
"ALB","Satureja montana",185794,"threatened"
"ALB","Sisyrinchium angustifolium",324934,"non-native"
"ALB","Sporobolus indicus",444243,"non-native"
"ALB","Styrax officinalis",2581185,"threatened"
"ALB","Symphoricarpos albus",2486129,"non-native"
"ALB","Symphyotrichum squamatum",3103888,"non-native"
"ALB","Symphytum officinale",2475636,"threatened"
"ALB","Tagetes minuta",3119212,"non-native"
"ALB","Taxus baccata",378626,"threatened"
"ALB","Teucrium fruticans",202931,"threatened"
"ALB","Tilia cordata",2518181,"threatened"
"ALB","Tilia platyphyllos",2517523,"threatened"
"ALB","Trapa natans",2519351,"threatened"
"ALB","Trollius europaeus",2514617,"threatened"
"ALB","Typha minima",271039,"threatened"
"ALB","Ulmus glabra",2448690,"threatened"
"ALB","Ulmus minor",2448634,"threatened"
"ALB","Valeriana officinalis",2464616,"threatened"
"ALB","Veronica peregrina",2463306,"non-native"
"ALB","Veronica persica",2463021,"non-native"
"ALB","Viburnum tinus",2458668,"threatened"
"ALB","Vicia faba",2452318,"non-native"
"ALB","Viscum album",2461327,"threatened"
"ALB","Vitis vinifera",2457006,"non-native"
"ALB","Xanthium orientale",2916928,"non-native"
"ALB","Xanthium spinosum",3119695,"non-native"
"ARG","Acer negundo",2616024,"non-native"
"ARG","Achillea millefolium",2908230,"non-native"
"ARG","Agrostemma githago",2626726,"non-native"
"ARG","Agrostis capillaris",387729,"non-native"
"ARG","Agrostis castellana",387742,"non-native"
"ARG","Agrostis gigantea",389634,"non-native"
"ARG","Agrostis idahoensis",389743,"non-native"
"ARG","Agrostis nebulosa",389981,"non-native"
"ARG","Agrostis stolonifera",390383,"non-native"
"ARG","Ailanthus altissima",2626815,"non-native"
"ARG","Aira caryophyllea",390804,"non-native"
"ARG","Aira elegans",519580,"non-native"
"ARG","Aira praecox",391043,"non-native"
"ARG","Aleurites moluccanus",5934,"non-native"
"ARG","Alopecurus aequalis",391253,"non-native"
"ARG","Alopecurus geniculatus",391395,"non-native"
"ARG","Alopecurus myosuroides",391472,"non-native"
"ARG","Alopecurus pratensis",391506,"non-native"
"ARG","Alyssum alyssoides",2631899,"non-native"
"ARG","Amaranthus albus",2632650,"non-native"
"ARG","Amaranthus blitoides",2632706,"non-native"
"ARG","Amaranthus celosioides",2632769,"non-native"
"ARG","Amaranthus retroflexus",2633061,"non-native"
"ARG","Amaranthus tortuosus",2633130,"non-native"
"ARG","Amorpha fruticosa",2634148,"non-native"
"ARG","Anchusa arvensis",2636464,"non-native"
"ARG","Anchusa officinalis",2636606,"non-native"
"ARG","Anthemis cotula",2906686,"non-native"
"ARG","Anthriscus caucalis",2641805,"non-native"
"ARG","Antirrhinum majus",2642724,"non-native"
"ARG","Apera interrupta",394110,"non-native"
"ARG","Apium graveolens",2644053,"non-native"
"ARG","Arabidopsis thaliana",2645262,"non-native"
"ARG","Arctium minus",2922436,"non-native"
"ARG","Arctotheca calendula",3075560,"non-native"
"ARG","Arctotis stoechadifolia",3075757,"non-native"
"ARG","Arenaria serpyllifolia",2650139,"non-native"
"ARG","Argentina anserina",2941910,"non-native"
"ARG","Arrhenatherum elatius",395388,"non-native"
"ARG","Artemisia abrotanum",2922513,"non-native"
"ARG","Artemisia absinthium",2909600,"non-native"
"ARG","Artemisia annua",2901442,"non-native"
"ARG","Artemisia douglasiana",2922524,"non-native"
"ARG","Artemisia verlotiorum",2901499,"non-native"
"ARG","Arundo donax",396629,"non-native"
"ARG","Asclepias curassavica",500848,"non-native"
"ARG","Asperugo procumbens",2656106,"non-native"
"ARG","Asplenium ceterach",3145781,"non-native"
"ARG","Atocion armeria",2664863,"non-native"
"ARG","Atriplex hortensis",2665365,"non-native"
"ARG","Atriplex micrantha",2665494,"non-native"
"ARG","Atriplex patula",2665629,"non-native"
"ARG","Atriplex prostrata",2665694,"non-native"
"ARG","Atriplex rosea",2665739,"non-native"
"ARG","Atriplex semibaccata",2665777,"non-native"
"ARG","Atriplex suberecta",2665836,"non-native"
"ARG","Atriplex tatarica",2665846,"non-native"
"ARG","Austrostipa plumigera",397242,"non-native"
"ARG","Avena barbata",397352,"non-native"
"ARG","Avena byzantina",397404,"non-native"
"ARG","Avena fatua",397488,"non-native"
"ARG","Avena sativa",397860,"non-native"
"ARG","Avena sterilis",397959,"non-native"
"ARG","Avena strigosa",397998,"non-native"
"ARG","Ballota nigra",19633,"non-native"
"ARG","Barbarea intermedia",2669654,"non-native"
"ARG","Barbarea vulgaris",2669712,"non-native"
"ARG","Bassia hyssopifolia",2670803,"non-native"
"ARG","Bassia scoparia",2670858,"non-native"
"ARG","Bellardia trixago",2672849,"non-native"
"ARG","Bellis perennis",2922692,"non-native"
"ARG","Bidens aurea",3115851,"non-native"
"ARG","Blitum nuttallianum",2677615,"non-native"
"ARG","Borago officinalis",2679695,"non-native"
"ARG","Brachypodium distachyon",399871,"non-native"
"ARG","Brassica juncea",2682298,"non-native"
"ARG","Brassica rapa",2682652,"non-native"
"ARG","Briza maxima",400234,"non-native"
"ARG","Briza media",400245,"non-native"
"ARG","Briza minor",400281,"non-native"
"ARG","Buglossoides arvensis",2685783,"non-native"
"ARG","Bupleurum tenuissimum",2687223,"non-native"
"ARG","Cakile maritima",2690424,"non-native"
"ARG","Calendula arvensis",3086950,"non-native"
"ARG","Calendula officinalis",2910167,"non-native"
"ARG","Camelina alyssum",2694358,"non-native"
"ARG","Camelina microcarpa",2694391,"non-native"
"ARG","Camelina sativa",2694405,"non-native"
"ARG","Campanula rotundifolia",365918,"non-native"
"ARG","Campsis radicans",320348,"non-native"
"ARG","Canavalia ensiformis",2696172,"non-native"
"ARG","Capsella bursa-pastoris",2697999,"non-native"
"ARG","Cardamine africana",2699376,"non-native"
"ARG","Cardamine hirsuta",2699855,"non-native"
"ARG","Carduus acanthoides",3040774,"non-native"
"ARG","Carduus pycnocephalus",3041131,"non-native"
"ARG","Carduus tenuiflorus",3041180,"non-native"
"ARG","Carpobrotus edulis",2701245,"non-native"
"ARG","Catabrosa aquatica",403714,"non-native"
"ARG","Catapodium rigidum",403830,"non-native"
"ARG","Catharanthus roseus",35719,"non-native"
"ARG","Caucalis platycarpos",2705953,"non-native"
"ARG","Celosia argentea",2707791,"non-native"
"ARG","Centaurea benedicta",2926256,"non-native"
"ARG","Centaurea calcitrapa",3048114,"non-native"
"ARG","Centaurea cyanus",2926089,"non-native"
"ARG","Centaurea diffusa",3049088,"non-native"
"ARG","Centaurea iberica",3049683,"non-native"
"ARG","Centaurea jacea",3049580,"non-native"
"ARG","Centaurea melitensis",3049996,"non-native"
"ARG","Centaurea nigrescens",3050000,"non-native"
"ARG","Centaurea solstitialis",3050367,"non-native"
"ARG","Centaurium littorale",2708691,"non-native"
"ARG","Centaurium pulchellum",2708736,"non-native"
"ARG","Cerastium arvense",2709949,"non-native"
"ARG","Cerastium glomeratum",2710370,"non-native"
"ARG","Cerastium holosteoides",2710423,"non-native"
"ARG","Chenopodiastrum murale",2913109,"non-native"
"ARG","Chenopodium album",2716945,"non-native"
"ARG","Chenopodium carnosulum",2717208,"non-native"
"ARG","Chenopodium giganteum",2717345,"non-native"
"ARG","Chenopodium pratericola",2717682,"non-native"
"ARG","Chenopodium vulvaria",2717921,"non-native"
"ARG","Chorispora tenella",2719512,"non-native"
"ARG","Cichorium intybus",2901597,"non-native"
"ARG","Cirsium arvense",2901650,"non-native"
"ARG","Cirsium vulgare",3042723,"non-native"
"ARG","Citrullus colocynthis",2723897,"non-native"
"ARG","Citrullus lanatus",2723908,"non-native"
"ARG","Cladanthus mixtus",3112393,"non-native"
"ARG","Claytonia perfoliata",2725205,"non-native"
"ARG","Clerodendrum chinense",42480,"non-native"
"ARG","Cochlearia officinalis",2729901,"non-native"
"ARG","Coleostephus myconis",3112542,"non-native"
"ARG","Colutea arborescens",2732070,"non-native"
"ARG","Conium maculatum",2734165,"non-native"
"ARG","Convolvulus arvensis",483761,"non-native"
"ARG","Coreopsis lanceolata",3117374,"non-native"
"ARG","Coriandrum sativum",2737546,"non-native"
"ARG","Coronilla varia",2738047,"non-native"
"ARG","Cosmos bipinnatus",2926450,"non-native"
"ARG","Cosmos sulphureus",3117604,"non-native"
"ARG","Cotula australis",3105055,"non-native"
"ARG","Cotula coronopifolia",3105066,"non-native"
"ARG","Crotalaria spectabilis",2744591,"non-native"
"ARG","Croton serpyllifolius",51163,"non-native"
"ARG","Cucurbita maxima",2747160,"non-native"
"ARG","Cucurbita moschata",2747174,"non-native"
"ARG","Cucurbita pepo",2747186,"non-native"
"ARG","Cuscuta campestris",485281,"non-native"
"ARG","Cuscuta epilinum",485520,"non-native"
"ARG","Cuscuta epithymum",485525,"non-native"
"ARG","Cuscuta indecora",485121,"non-native"
"ARG","Cylindropuntia tunicata",2750457,"non-native"
"ARG","Cymbalaria muralis",2750549,"non-native"
"ARG","Cymbopogon citratus",406132,"non-native"
"ARG","Cynara cardunculus",2911920,"non-native"
"ARG","Cynodon dactylon",406339,"non-native"
"ARG","Cynodon nlemfuensis",406403,"non-native"
"ARG","Cynodon plectostachyus",406415,"non-native"
"ARG","Cynosurus cristatus",406467,"non-native"
"ARG","Cynosurus echinatus",406482,"non-native"
"ARG","Cytisus scoparius",2754907,"non-native"
"ARG","Dactyloctenium aegyptium",406842,"non-native"
"ARG","Dahlia pinnata",3117675,"non-native"
"ARG","Datura ferox",2757788,"non-native"
"ARG","Daucus carota",2757936,"non-native"
"ARG","Delairea odorata",3086686,"non-native"
"ARG","Descurainia pinnata",2761807,"non-native"
"ARG","Descurainia sophia",2761851,"non-native"
"ARG","Desmodium tortuosum",2762879,"non-native"
"ARG","Dianthus armeria",2763820,"non-native"
"ARG","Dichasianthus runcinatus",2999900,"non-native"
"ARG","Digitalis purpurea",2768087,"non-native"
"ARG","Digitaria bicornis",408799,"non-native"
"ARG","Digitaria eriantha",408965,"non-native"
"ARG","Digitaria sanguinalis",409361,"non-native"
"ARG","Digitaria ternata",409463,"non-native"
"ARG","Diplotaxis muralis",2771304,"non-native"
"ARG","Diplotaxis tenuifolia",2771347,"non-native"
"ARG","Dipsacus fullonum",2771857,"non-native"
"ARG","Dipsacus sativus",2771888,"non-native"
"ARG","Draba verna",2777499,"non-native"
"ARG","Duranta erecta",65221,"non-native"
"ARG","Duranta stenostachya",65290,"non-native"
"ARG","Dysphania atriplicifolia",3273694,"non-native"
"ARG","Dysphania carinata",2780228,"non-native"
"ARG","Dysphania pumilio",2780242,"non-native"
"ARG","Echium plantagineum",2784282,"non-native"
"ARG","Echium vulgare",2784423,"non-native"
"ARG","Elaeagnus angustifolia",2784980,"non-native"
"ARG","Eleusine indica",410636,"non-native"
"ARG","Eleusine tristachya",410700,"non-native"
"ARG","Emilia fosbergii",3086243,"non-native"
"ARG","Enneapogon desvauxii",411987,"non-native"
"ARG","Eriobotrya japonica",2901791,"non-native"
"ARG","Erodium cicutarium",2798183,"non-native"
"ARG","Erodium malacoides",2798326,"non-native"
"ARG","Erodium moschatum",2798354,"non-native"
"ARG","Eruca vesicaria",2798757,"non-native"
"ARG","Erysimum cheiranthoides",2799902,"non-native"
"ARG","Erysimum repandum",2800426,"non-native"
"ARG","Eucalyptus grandis",73044,"non-native"
"ARG","Eucalyptus quadrangulata",73748,"non-native"
"ARG","Euryops chrysanthemoides",3085632,"non-native"
"ARG","Fallopia convolvulus",2807634,"non-native"
"ARG","Foeniculum vulgare",2813604,"non-native"
"ARG","Fragaria vesca",2948952,"non-native"
"ARG","Frankenia pulverulenta",2814273,"non-native"
"ARG","Fumaria agraria",2815253,"non-native"
"ARG","Fumaria bastardii",2815297,"non-native"
"ARG","Fumaria capreolata",2815328,"non-native"
"ARG","Fumaria densiflora",2815356,"non-native"
"ARG","Fumaria officinalis",2815499,"non-native"
"ARG","Fumaria parviflora",2815524,"non-native"
"ARG","Gaillardia aristata",3115660,"non-native"
"ARG","Galega officinalis",2816283,"non-native"
"ARG","Galium aparine",85676,"non-native"
"ARG","Gastridium phleoides",417484,"non-native"
"ARG","Gaudinia fragilis",417511,"non-native"
"ARG","Genista monspessulana",2819400,"non-native"
"ARG","Geranium carolinianum",2822997,"non-native"
"ARG","Geranium dissectum",2823166,"non-native"
"ARG","Geranium molle",2823621,"non-native"
"ARG","Geranium purpureum",2823884,"non-native"
"ARG","Geranium pusillum",2823887,"non-native"
"ARG","Geranium rotundifolium",2823982,"non-native"
"ARG","Gleditsia triacanthos",2826513,"non-native"
"ARG","Glinus lotoides",2826558,"non-native"
"ARG","Gomphocarpus fruticosus",505642,"non-native"
"ARG","Grevillea robusta",2832700,"non-native"
"ARG","Gynura aurantiaca",3083884,"non-native"
"ARG","Gypsophila vaccaria",2836944,"non-native"
"ARG","Hedera helix",96659,"non-native"
"ARG","Hedypnois rhagadioloides",3074272,"non-native"
"ARG","Helianthus annuus",2910966,"non-native"
"ARG","Helianthus petiolaris",3121103,"non-native"
"ARG","Helianthus tuberosus",2927111,"non-native"
"ARG","Helminthotheca echioides",3074351,"non-native"
"ARG","Helosciadium nodiflorum",2844910,"non-native"
"ARG","Herniaria cinerea",2846906,"non-native"
"ARG","Herniaria hirsuta",2846941,"non-native"
"ARG","Hesperis matronalis",2847567,"non-native"
"ARG","Heterotheca subaxillaris",3104422,"non-native"
"ARG","Hirschfeldia incana",2852013,"non-native"
"ARG","Holcus lanatus",419046,"non-native"
"ARG","Holosteum umbellatum",2852528,"non-native"
"ARG","Hordeum jubatum",419358,"non-native"
"ARG","Hordeum murinum",419414,"non-native"
"ARG","Hordeum pusillum",419482,"non-native"
"ARG","Hordeum vulgare",419563,"non-native"
"ARG","Hornungia procumbens",2853413,"non-native"
"ARG","Hovenia dulcis",2853957,"non-native"
"ARG","Hypochaeris glabra",3074561,"non-native"
"ARG","Hypochaeris radicata",3074657,"non-native"
"ARG","Ipomoea quamoclit",482262,"non-native"
"ARG","Ipomoea tricolor",482807,"non-native"
"ARG","Kalanchoe pinnata",2336037,"non-native"
"ARG","Knautia arvensis",2334543,"non-native"
"ARG","Lactuca saligna",3062309,"non-native"
"ARG","Lactuca sativa",2912742,"non-native"
"ARG","Lactuca serriola",2927162,"non-native"
"ARG","Lagurus ovatus",421920,"non-native"
"ARG","Lamarckia aurea",421929,"non-native"
"ARG","Lamium amplexicaule",107386,"non-native"
"ARG","Lamium hybridum",107493,"non-native"
"ARG","Lamium purpureum",107573,"non-native"
"ARG","Lapsana communis",3058044,"non-native"
"ARG","Lathyrus hirsutus",2350736,"non-native"
"ARG","Lathyrus latifolius",2350701,"non-native"
"ARG","Lemna disperma",109291,"non-native"
"ARG","Leonotis nepetifolia",109456,"non-native"
"ARG","Leontodon saxatilis",3075173,"non-native"
"ARG","Leonurus sibiricus",109583,"non-native"
"ARG","Lepidium appelianum",2338213,"non-native"
"ARG","Lepidium chalepense",2337810,"non-native"
"ARG","Lepidium densiflorum",2337846,"non-native"
"ARG","Lepidium draba",2342458,"non-native"
"ARG","Lepidium latifolium",2338049,"non-native"
"ARG","Lepidium perfoliatum",2338612,"non-native"
"ARG","Lepidium pinnatifidum",2338621,"non-native"
"ARG","Lepidium sativum",2338547,"non-native"
"ARG","Lepidium virginicum",2341702,"non-native"
"ARG","Leucanthemum vulgare",3112766,"non-native"
"ARG","Leymus arenarius",422570,"non-native"
"ARG","Linaria dalmatica",2499479,"non-native"
"ARG","Linaria purpurea",2499859,"non-native"
"ARG","Linum catharticum",2348507,"non-native"
"ARG","Linum usitatissimum",2353429,"non-native"
"ARG","Lobularia maritima",2338457,"non-native"
"ARG","Lolium arundinaceum",422765,"non-native"
"ARG","Lolium multiflorum",422833,"non-native"
"ARG","Lolium perenne",422848,"non-native"
"ARG","Lolium pratense",422867,"non-native"
"ARG","Lolium rigidum",422874,"non-native"
"ARG","Lolium temulentum",422908,"non-native"
"ARG","Lonicera japonica",2339716,"non-native"
"ARG","Lotus corniculatus",2345329,"non-native"
"ARG","Lotus parviflorus",2345225,"non-native"
"ARG","Lotus pedunculatus",2345237,"non-native"
"ARG","Lotus tenuis",2345174,"non-native"
"ARG","Lupinus arboreus",2347978,"non-native"
"ARG","Lupinus polyphyllus",2346871,"non-native"
"ARG","Lysimachia arvensis",2896568,"non-native"
"ARG","Lysimachia minima",2896584,"non-native"
"ARG","Malcolmia maritima",2357888,"non-native"
"ARG","Malva arborea",2503593,"non-native"
"ARG","Malva moschata",2503483,"non-native"
"ARG","Marrubium vulgare",120952,"non-native"
"ARG","Matricaria chamomilla",2906535,"non-native"
"ARG","Medicago arabica",2368658,"non-native"
"ARG","Medicago lupulina",2368448,"non-native"
"ARG","Medicago minima",2368363,"non-native"
"ARG","Medicago monspeliaca",2368352,"non-native"
"ARG","Medicago polymorpha",2369061,"non-native"
"ARG","Medicago sativa",2369031,"non-native"
"ARG","Medicago scutellata",2369035,"non-native"
"ARG","Medicago truncatula",2369218,"non-native"
"ARG","Megathyrsus maximus",423373,"non-native"
"ARG","Melia azedarach",2505106,"non-native"
"ARG","Melilotus albus",2367267,"non-native"
"ARG","Melilotus indicus",2367245,"non-native"
"ARG","Melilotus officinalis",2367217,"non-native"
"ARG","Melilotus siculus",2367371,"non-native"
"ARG","Melissa officinalis",124103,"non-native"
"ARG","Mentha aquatica",124366,"non-native"
"ARG","Mentha pulegium",125243,"non-native"
"ARG","Mentha spicata",125402,"non-native"
"ARG","Mercurialis annua",125710,"non-native"
"ARG","Mesembryanthemum nodiflorum",2362248,"non-native"
"ARG","Mimosa scabrella",2373462,"non-native"
"ARG","Misopates orontium",2506761,"non-native"
"ARG","Moluccella laevis",128950,"non-native"
"ARG","Montanoa bipinnatifida",3123464,"non-native"
"ARG","Mutarda nigra",2359243,"non-native"
"ARG","Myosotis arvensis",2357149,"non-native"
"ARG","Myosotis azorica",2357133,"non-native"
"ARG","Myosotis discolor",2357600,"non-native"
"ARG","Myosotis laxa",2358174,"non-native"
"ARG","Myosotis stricta",2358247,"non-native"
"ARG","Myosotis verna",2357910,"non-native"
"ARG","Nasturtium officinale",2381026,"non-native"
"ARG","Neonotonia wightii",2383155,"non-native"
"ARG","Nepeta cataria",134509,"non-native"
"ARG","Neslia paniculata",2381087,"non-native"
"ARG","Oenanthe globulosa",2389913,"non-native"
"ARG","Onopordum acanthium",3043390,"non-native"
"ARG","Onopordum nervosum",3043503,"non-native"
"ARG","Oxybasis glauca",2914527,"non-native"
"ARG","Parapholis cylindrica",538882,"non-native"
"ARG","Parietaria officinalis",2546423,"non-native"
"ARG","Pastinaca sativa",2403590,"non-native"
"ARG","Persea americana",2529835,"non-native"
"ARG","Persicaria amphibia",2571959,"non-native"
"ARG","Persicaria glabra",2572531,"non-native"
"ARG","Persicaria lapathifolia",2572508,"non-native"
"ARG","Persicaria maculosa",2572628,"non-native"
"ARG","Persicaria minor",2572670,"non-native"
"ARG","Persicaria orientalis",2572578,"non-native"
"ARG","Petrorhagia nanteuilii",2409396,"non-native"
"ARG","Phalaris minor",433505,"non-native"
"ARG","Phonus lanatus",3047518,"non-native"
"ARG","Phyllanthus tenellus",155007,"non-native"
"ARG","Phytolacca americana",2562777,"non-native"
"ARG","Pimpinella anisum",2402426,"non-native"
"ARG","Plantago indica",2557206,"non-native"
"ARG","Plantago lanceolata",2569834,"non-native"
"ARG","Plantago major",2569743,"non-native"
"ARG","Polycarpon tetraphyllum",2409666,"non-native"
"ARG","Polygonum arenarium",2572389,"non-native"
"ARG","Polygonum aviculare",2574669,"non-native"
"ARG","Polygonum maritimum",2574902,"non-native"
"ARG","Prunella vulgaris",166020,"non-native"
"ARG","Prunus mahaleb",2960576,"non-native"
"ARG","Prunus persica",2901279,"non-native"
"ARG","Pyracantha angustifolia",2962674,"non-native"
"ARG","Raphanus raphanistrum",2422367,"non-native"
"ARG","Rapistrum rugosum",2422602,"non-native"
"ARG","Ratibida columnifera",3123527,"non-native"
"ARG","Reseda luteola",2526079,"non-native"
"ARG","Rhamnus cathartica",2523018,"non-native"
"ARG","Rhamphospermum arvense",2422502,"non-native"
"ARG","Rhaponticum repens",3046987,"non-native"
"ARG","Ricinus communis",178867,"non-native"
"ARG","Rorippa dubia",2417393,"non-native"
"ARG","Rorippa palustris",2417173,"non-native"
"ARG","Rorippa sylvestris",2417195,"non-native"
"ARG","Rosa micrantha",2971248,"non-native"
"ARG","Rostraria cristata",439519,"non-native"
"ARG","Rumex acetosa",2424198,"non-native"
"ARG","Rumex acetosella",2424185,"non-native"
"ARG","Rumex conglomeratus",2424254,"non-native"
"ARG","Rumex crispus",2424294,"non-native"
"ARG","Rumex longifolius",2424014,"non-native"
"ARG","Rumex maritimus",2424694,"non-native"
"ARG","Rumex obtusifolius",2424630,"non-native"
"ARG","Rumex pulcher",2424875,"non-native"
"ARG","Sagina apetala",2485158,"non-native"
"ARG","Sagina procumbens",2485289,"non-native"
"ARG","Salicornia perennis",2480881,"non-native"
"ARG","Salsola kali",2481347,"non-native"
"ARG","Salsola tragus",2484161,"non-native"
"ARG","Salvia microphylla",183199,"non-native"
"ARG","Salvia officinalis",183353,"non-native"
"ARG","Salvia reflexa",183679,"non-native"
"ARG","Salvia splendens",183912,"non-native"
"ARG","Salvia verbenaca",184123,"non-native"
"ARG","Saponaria officinalis",2484914,"non-native"
"ARG","Schismus arabicus",441218,"non-native"
"ARG","Schismus barbatus",441222,"non-native"
"ARG","Scleranthus annuus",2490367,"non-native"
"ARG","Sclerochloa dura",441630,"non-native"
